File Size,Read Type,Scenario,Epoch,Duration (s),Throughput (MB/s),IOPS,GCSFuse Lowest Memory (MB),GCSFuse Highest Memory (MB),GCSFuse Lowest CPU (core),GCSFuse Highest CPU (core),Pod,Start,End
64K,read,local-ssd,1,32,1900,30401,0,0,0.0,0.0,fio-tester-read-64k-64k-local-ssd,2024-03-11 04:02:09 UTC,2024-03-11 04:02:45 UTC
64K,read,local-ssd,2,32,1903,30459,0,0,0.0,0.0,fio-tester-read-64k-64k-local-ssd,2024-03-11 04:03:09 UTC,2024-03-11 04:03:48 UTC
64K,read,local-ssd,3,31,2008,32141,0,0,0.0,0.0,fio-tester-read-64k-64k-local-ssd,2024-03-11 04:04:12 UTC,2024-03-11 04:04:50 UTC
64K,read,local-ssd,4,32,1910,30561,0,0,0.0,0.0,fio-tester-read-64k-64k-local-ssd,2024-03-11 04:05:14 UTC,2024-03-11 04:05:51 UTC
64K,read,gcsfuse-no-file-cache,1,1036,60,964,3986,4153,0.66361,1.11107,fio-tester-read-64k-64k-gcsfuse-no-file-cache,2024-03-11 03:10:41 UTC,2024-03-11 03:27:58 UTC
64K,read,gcsfuse-no-file-cache,2,912,68,1095,4152,4169,0.89804,1.12326,fio-tester-read-64k-64k-gcsfuse-no-file-cache,2024-03-11 03:33:42 UTC,2024-03-11 03:48:54 UTC
64K,read,gcsfuse-no-file-cache,3,840,74,1190,4164,4179,0.946,1.16495,fio-tester-read-64k-64k-gcsfuse-no-file-cache,2024-03-11 03:54:40 UTC,2024-03-11 04:08:40 UTC
64K,read,gcsfuse-no-file-cache,4,797,78,1253,4191,4195,0.98541,1.19184,fio-tester-read-64k-64k-gcsfuse-no-file-cache,2024-03-11 04:14:27 UTC,2024-03-11 04:27:44 UTC
64K,read,gcsfuse-file-cache,1,1049,59,952,3975,8547,0.65705,1.37626,fio-tester-read-64k-64k-gcsfuse-file-cache,2024-03-11 03:10:39 UTC,2024-03-11 03:28:09 UTC
64K,read,gcsfuse-file-cache,2,68,906,14510,6099,6482,1.23412,1.78189,fio-tester-read-64k-64k-gcsfuse-file-cache,2024-03-11 03:34:06 UTC,2024-03-11 03:35:20 UTC
64K,read,gcsfuse-file-cache,3,66,933,14940,6115,6245,2.15245,2.74102,fio-tester-read-64k-64k-gcsfuse-file-cache,2024-03-11 03:41:13 UTC,2024-03-11 03:42:29 UTC
